Tensao,Corrente
11.69,1085.07
11.69,1082.74
11.67,1111.32
11.69,1102.59
11.67,1145.10
11.67,1156.52
11.67,1163.73
11.69,1160.40
11.67,1416.87
11.67,1258.17
11.67,1201.88
11.67,1359.91
11.62,1231.11
11.69,1181.04
11.67,1160.54
11.67,1140.95
11.67,1144.54
11.69,1181.77
11.67,1215.23
11.67,1332.61
11.67,1204.09
11.64,1246.54
11.67,1156.41
11.69,1168.55
11.67,1268.65
11.64,1214.72
11.69,1194.34
11.67,1172.90
11.67,1166.81
11.69,1143.25
11.67,1140.98
11.67,1184.01
11.69,1143.22
11.67,1174.59
11.67,1164.11
11.67,1167.94
11.67,1178.89
11.67,1153.84
11.67,1145.34
11.69,1157.55
11.67,1223.00
11.69,1194.86
11.67,1202.38
11.69,1165.82
11.67,1165.90
11.67,1173.15
11.67,1151.13
11.67,1124.89
11.67,1139.91
11.69,1176.46
11.69,1170.11
11.69,1165.13
11.69,1160.05
11.67,1143.17
11.67,1139.56
11.67,1164.23
11.67,1156.68
11.67,1172.43
11.67,1159.60
11.67,1128.84
11.64,1143.49
11.67,1158.95
11.67,1160.38
11.67,1150.97
11.67,1156.94
11.69,1130.60
11.67,1143.98
11.67,1164.76
11.69,1163.92
11.67,1193.70
11.62,1200.45
11.67,1193.43
11.62,1302.00
11.69,1140.46
11.67,1215.43
11.67,1221.40
11.67,1213.00
11.59,1285.46
11.67,1242.90
11.67,1260.54
11.67,1313.10
11.59,1516.88
11.64,1396.76
11.64,1203.43
11.67,1197.41
11.67,1159.56
11.69,1175.60
11.67,1190.75
11.64,1197.57
11.64,1182.65
11.67,1169.12
11.69,1153.42
11.67,1183.90
11.67,1170.47
11.67,1157.87
11.64,1205.03
11.67,1182.48
11.67,1194.23
11.64,1243.62
11.67,1276.77
11.59,1391.64
11.64,1309.22
11.59,1269.32
11.67,1281.14
11.54,1528.15
11.67,1315.72
11.67,1322.61
11.67,1155.42
11.64,1454.12
11.62,1260.71
11.67,1352.69
11.62,1228.46
11.67,1297.99
11.67,1247.38
11.57,1376.44
11.59,1498.34
11.59,1218.42
11.69,1154.89
11.59,1232.18
11.67,1386.56
11.64,1489.11
11.67,1207.63
11.67,1173.21
11.67,1136.56
11.64,1351.64
11.62,1447.77
11.67,1217.93
11.59,1244.05
11.64,1228.45
11.64,1296.43
11.64,1289.10
11.64,1372.76
11.64,1196.02
11.67,1233.03
11.57,1198.82
11.67,1204.47
11.64,1140.58
11.67,1131.70
11.67,1222.05
11.64,1154.01
11.67,1198.93
11.64,1188.91
11.67,1291.67
11.67,1148.51
11.67,1164.08
11.62,1163.57
11.64,1338.55
11.62,1191.30
11.64,1205.44
11.64,1293.86
11.67,1267.77
11.67,1254.69
11.57,1375.78
11.64,1264.05
11.64,1330.12
11.67,1201.29
11.67,1157.29
